,location,imagefile,cas_present,Latitude,Longitude
0,1,PXL_20210725_040405506.jpg,True,15.041333333333332,145.62976944444446
1,2,PXL_20210725_040330535.jpg,True,15.042052777777778,145.62866666666667
2,3,PXL_20210729_015526414.jpg,False,15.050522222222224,145.63769722222222
3,4,PXL_20210729_015405811.jpg,False,15.050625,145.63768055555556
4,5,PXL_20210724_071318940.jpg,False,15.055200000000001,145.63923055555554
5,6,PXL_20210724_071346293.jpg,False,15.05521388888889,145.63923888888888
6,7,PXL_20210724_071008244.jpg,False,15.055247222222222,145.63935833333332
7,8,PXL_20210724_071232796.jpg,False,15.055286111111112,145.63923333333332
8,9,PXL_20210724_070331088.jpg,False,15.055288888888889,145.6395222222222
9,10,PXL_20210724_071606450.jpg,False,15.0554,145.63926388888888
